YEAR,DISTRICT,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,PHOENIX CENTRAL SCHOOL DISTRICT,40.0,8.0,0.0,1.0,0.0,48.0,1.0
2014,GILBERTSVILLE-MOUNT UPTON CENTRAL SCHOOL DISTRICT,32.0,16.0,1.0,1.0,0.0,48.0,2.0
2014,EDMESTON CENTRAL SCHOOL DISTRICT,29.0,11.0,2.0,1.0,0.0,40.0,3.0
2014,LAURENS CENTRAL SCHOOL DISTRICT,38.0,12.0,0.0,7.0,1.0,50.0,8.0
2014,SCHENEVUS CENTRAL SCHOOL DISTRICT,23.0,14.0,3.0,3.0,1.0,37.0,7.0
2014,MILFORD CENTRAL SCHOOL DISTRICT,34.0,10.0,3.0,2.0,2.0,44.0,7.0
2014,MORRIS CENTRAL SCHOOL DISTRICT,37.0,19.0,1.0,5.0,2.0,56.0,8.0
2014,ONEONTA CITY SCHOOL DISTRICT,28.0,7.0,7.0,6.0,3.0,35.0,16.0
2014,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,38.0,12.0,1.0,4.0,1.0,50.0,6.0
2014,COOPERSTOWN CENTRAL SCHOOL DISTRICT,15.0,9.0,1.0,3.0,4.0,24.0,8.0
2014,RICHFIELD SPRINGS CENTRAL SCHOOL DISTRICT,41.0,12.0,1.0,1.0,1.0,53.0,3.0
2014,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,32.0,13.0,1.0,0.0,0.0,45.0,1.0
2014,WORCESTER CENTRAL SCHOOL DISTRICT,31.0,6.0,1.0,1.0,0.0,37.0,2.0
2014,MAHOPAC CENTRAL SCHOOL DISTRICT,6.0,3.0,1.0,13.0,2.0,9.0,16.0
2014,CARMEL CENTRAL SCHOOL DISTRICT,13.0,5.0,2.0,19.0,3.0,18.0,24.0
2014,HALDANE CENTRAL SCHOOL DISTRICT,7.0,2.0,1.0,7.0,4.0,9.0,12.0
2014,GARRISON UNION FREE SCHOOL DISTRICT,6.0,0.0,3.0,7.0,4.0,6.0,14.0
2014,PUTNAM VALLEY CENTRAL SCHOOL DISTRICT,11.0,5.0,2.0,13.0,2.0,16.0,17.0
2014,BREWSTER CENTRAL SCHOOL DISTRICT,14.0,4.0,3.0,24.0,3.0,18.0,30.0
2014,BERLIN CENTRAL SCHOOL DISTRICT,30.0,10.0,1.0,1.0,1.0,40.0,3.0
2014,BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL),16.0,6.0,2.0,2.0,2.0,22.0,6.0
2014,EAST GREENBUSH CENTRAL SCHOOL DISTRICT,11.0,3.0,2.0,5.0,4.0,14.0,11.0
2014,HOOSICK FALLS CENTRAL SCHOOL DISTRICT,32.0,9.0,1.0,2.0,1.0,41.0,4.0
2014,LANSINGBURGH CENTRAL SCHOOL DISTRICT,53.0,9.0,17.0,10.0,1.0,62.0,28.0
2014,NORTH GREENBUSH COMMON SCHOOL DISTRICT (WILLIAMS),0.0,0.0,5.0,0.0,5.0,0.0,10.0
2014,WYNANTSKILL UNION FREE SCHOOL DISTRICT,14.0,6.0,2.0,3.0,0.0,20.0,5.0
2014,RENSSELAER CITY SCHOOL DISTRICT,41.0,8.0,10.0,6.0,13.0,49.0,29.0
2014,AVERILL PARK CENTRAL SCHOOL DISTRICT,13.0,4.0,1.0,2.0,2.0,17.0,5.0
2014,HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,16.0,7.0,0.0,1.0,0.0,23.0,1.0
2014,SCHODACK CENTRAL SCHOOL DISTRICT,11.0,3.0,2.0,4.0,1.0,14.0,7.0
2014,TROY CITY SCHOOL DISTRICT,66.0,6.0,33.0,14.0,2.0,72.0,49.0
2014,CLARKSTOWN CENTRAL SCHOOL DISTRICT,6.0,2.0,4.0,13.0,14.0,8.0,31.0
2014,NANUET UNION FREE SCHOOL DISTRICT,10.0,3.0,5.0,15.0,15.0,13.0,35.0
2014,HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),40.0,7.0,12.0,50.0,4.0,47.0,66.0
2014,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,7.0,2.0,2.0,11.0,9.0,9.0,22.0
2014,NYACK UNION FREE SCHOOL DISTRICT,22.0,4.0,19.0,19.0,8.0,26.0,46.0
2014,PEARL RIVER UNION FREE SCHOOL DISTRICT,5.0,1.0,1.0,9.0,5.0,6.0,15.0
2014,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),17.0,3.0,5.0,16.0,8.0,20.0,29.0
2014,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),72.0,8.0,43.0,46.0,5.0,80.0,94.0
2014,BRASHER FALLS CENTRAL SCHOOL DISTRICT,46.0,10.0,1.0,2.0,1.0,56.0,4.0
2014,CANTON CENTRAL SCHOOL DISTRICT,31.0,6.0,1.0,1.0,1.0,37.0,3.0
2014,CLIFTON-FINE CENTRAL SCHOOL DISTRICT,62.0,13.0,4.0,3.0,1.0,75.0,8.0
