YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
2014,HAMILTON CENTRAL SCHOOL DISTRICT,0.16,0.5,0.1253061224489796
2014,CANASTOTA CENTRAL SCHOOL DISTRICT,0.12,0.11,0.12045454545454544
2014,MADISON CENTRAL SCHOOL DISTRICT,0.11,0.1,0.11157894736842106
2014,ONEIDA CITY SCHOOL DISTRICT,0.1,0.14,0.0986046511627907
2014,STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,0.12,0.25,0.08657142857142855
2014,CHITTENANGO CENTRAL SCHOOL DISTRICT,0.07,0.0,0.0708641975308642
2014,BRIGHTON CENTRAL SCHOOL DISTRICT,0.09,0.09,0.09
2014,GATES-CHILI CENTRAL SCHOOL DISTRICT,0.11,0.28,0.10202346041055721
2014,GREECE CENTRAL SCHOOL DISTRICT,0.13,0.23,0.12549356223175967
2014,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,0.13,0.35,0.1260144927536232
2014,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,0.2,0.23,0.198
2014,HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08041450777202072
2014,SPENCERPORT CENTRAL SCHOOL DISTRICT,0.13,0.45,0.12204968944099379
2014,HILTON CENTRAL SCHOOL DISTRICT,0.14,0.31,0.13310144927536233
2014,PENFIELD CENTRAL SCHOOL DISTRICT,0.08,0.27,0.06975741239892184
2014,FAIRPORT CENTRAL SCHOOL DISTRICT,0.13,0.44,0.10352083333333334
2014,EAST ROCHESTER UNION FREE SCHOOL DISTRICT,0.12,0.1,0.1208
2014,PITTSFORD CENTRAL SCHOOL DISTRICT,0.12,0.25,0.11592901878914405
2014,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,0.11,0.33,0.10432258064516128
2014,ROCHESTER CITY SCHOOL DISTRICT,0.25,0.39,0.24297233201581028
2014,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,0.12,0.21,0.11565126050420167
2014,BROCKPORT CENTRAL SCHOOL DISTRICT,0.09,0.25,0.08342465753424658
2014,WEBSTER CENTRAL SCHOOL DISTRICT,0.09,0.28,0.08540785498489424
2014,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,0.15,0.25,0.14402985074626867
2014,AMSTERDAM CITY SCHOOL DISTRICT,0.13,0.29,0.12191335740072201
2014,CANAJOHARIE CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07269230769230771
2014,FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07067961165048545
2014,FORT PLAIN CENTRAL SCHOOL DISTRICT,0.1,0.0,0.10434782608695653
2014,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,,,
2014,GLEN COVE CITY SCHOOL DISTRICT,0.1,0.23,0.0932128514056225
2014,HEMPSTEAD UNION FREE SCHOOL DISTRICT,0.25,0.33,0.24530474040632055
2014,UNIONDALE UNION FREE SCHOOL DISTRICT,0.09,0.22,0.08582230623818525
2014,EAST MEADOW UNION FREE SCHOOL DISTRICT,0.13,0.19,0.12679715302491104
2014,NORTH BELLMORE UNION FREE SCHOOL DISTRICT,0.16,0.2,0.15957219251336902
2014,LEVITTOWN UNION FREE SCHOOL DISTRICT,0.14,0.38,0.13884244372990356
2014,SEAFORD UNION FREE SCHOOL DISTRICT,0.09,0.0,0.09044117647058823
2014,BELLMORE UNION FREE SCHOOL DISTRICT,0.08,0.0,0.08
2014,ROOSEVELT UNION FREE SCHOOL DISTRICT,0.17,0.22,0.1684162895927602
2014,FREEPORT UNION FREE SCHOOL DISTRICT,0.08,0.32,0.07367139959432051
2014,BALDWIN UNION FREE SCHOOL DISTRICT,0.18,0.58,0.175778364116095
2014,OCEANSIDE UNION FREE SCHOOL DISTRICT,0.1,0.15,0.09908883826879271
2014,MALVERNE UNION FREE SCHOOL DISTRICT,0.13,0.29,0.12493670886075951
2014,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,0.08,0.14,0.07964497041420118
2014,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,0.1,0.33,0.09479245283018868
2014,LAWRENCE UNION FREE SCHOOL DISTRICT,0.14,0.4,0.13802281368821295
2014,ELMONT UNION FREE SCHOOL DISTRICT,0.14,0.3,0.12769230769230772
2014,FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT,0.11,0.38,0.09620437956204379
2014,GARDEN CITY UNION FREE SCHOOL DISTRICT,0.12,0.31,0.11573717948717949
2014,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,0.13,0.43,0.11584905660377358
2014,LYNBROOK UNION FREE SCHOOL DISTRICT,0.11,0.41,0.09915662650602408
2014,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,0.1,0.25,0.08980582524271845
2014,FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT,0.12,0.22,0.11599999999999999
2014,WANTAGH UNION FREE SCHOOL DISTRICT,0.11,0.46,0.1033206106870229
2014,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,0.08,0.17,0.0766355140186916
2014,MERRICK UNION FREE SCHOOL DISTRICT,0.11,0.33,0.10557046979865771
2014,ISLAND TREES UNION FREE SCHOOL DISTRICT,0.15,0.2,0.1473404255319149
